Text,X,Y,Width,Height,Score,Page
Part1通用學字：依字首分期,311.5,11.0,139,10,0.8131263012650842,100
60MP3056,29.5,25.0,57,18,0.899307831807834,100
"■ He grew up in a dysfunctional family, with a father locked up in jail and",186.0,63.5,340,13,0.8308340463828405,100
an alcoholic mother,71.0,78.0,92,10,0.7993016335384902,100
他生長龄功能失常的家庭·父親全军、母親醚酒,122.0,92.0,194,14,0.8752828389697243,100
dyslexia [drs°lcksra],52.0,119.0,98,14,0.8963341189847728,100
dys/lect/ia,102.0,139.5,60,11,0.822662663582543,100
图同清障,215.5,139.5,53,11,0.91262809913409,100
bad/read/名同字尾,114.5,153.5,89,13,0.8370152418216833,100
dyslexic有阅漂障硬的,248.0,155.5,118,13,0.8818819847036592,100
■ Children with dyslexia often do poorly at school.,134.0,176.5,234,13,0.9207961819289874,100
患有開障的兒童·往往課業成精较差,108.5,192.0,165,10,0.860092726684848,100
dyspepsia [dtspcpja],56.0,217.0,106,14,0.979694486561824,100
dys / peps / ia,101.5,238.0,67,14,0.8668176933340938,100
图消化不良,215.5,238.0,55,14,0.8168544656791025,100
bad/digest/名同字尾,113.0,251.0,94,14,0.9787767865834223,100
dyspeptic消化不良的：境脾氣的,269.0,252.5,160,13,0.7218185528841621,100
■ I'm not having lunch today because I'm suffering from dyspepsia,171.5,274.5,311,13,0.6710641170065088,100
我消化不良，今天不吃午餐了·,88.0,289.5,126,13,0.9438473090529442,100
,25.5,20.0,35,30,0.8285755115226329,101
表示「数量」的字首,186.5,20.5,227,31,0.8512296290210788,101
MP3 057,40.5,70.5,63,25,0.8315537817076789,101
micro-:tiny,82.5,103.5,153,21,0.7820644426839428,101
"microwave [markro, wev]",76.5,131.0,129,20,0.7628495530917405,101
micro/wave,110.5,151.5,67,21,0.7626189277372356,101
微波,213.0,159.0,38,18,0.8222696263071188,101
tiny/wave,112.5,165.25,59,23,0.8644620842821223,101
■ You mustn't place metals into a microwave oven,142.0,187.5,234,19,0.8126934716876131,101
艳對不可以放金到微波里,96.0,202.0,120,12,0.8395191558830936,101
microbe[makrob],61.5,238.0,95,18,0.847685124116209,101
微生物,217.0,258.0,48,20,0.8075852128439263,101
micro/bio,111.0,258.5,60,21,0.8620164897795555,101
microbial微生物的,247.0,273.0,104,14,0.8171773216397418,101
tiny /life,116.0,273.5,46,19,0.9044556828927371,101
"● Microbes, or microorganisms, are essential to life, but they also cause a",192.0,294.5,332,19,0.7602812399655279,101
lot of our diseases.,79.5,310.0,85,14,0.857336847078268,101
生物是能持生命所必需的·但也為人频带来許多疾病,143.0,323.5,216,15,0.825036632153136,101
"microcosm [markro,kazom]",81.5,347.75,135,19,0.7205478178918687,101
micro/cosm,111.0,368.0,66,18,0.9087613248341793,101
小宇宙，癌影,231.5,368.0,75,16,0.8508742970078866,101
tiny/order,116.5,382.5,55,21,0.89835929941405,101
国cosmos宇宙,235.5,384.5,83,17,0.8913374887218336,101
■ Our little town is a microcosm of modern society.,144.0,405.0,232,14,0.8164784509224929,101
我們這個小模是现代社會的耀影,102.0,419.5,132,13,0.7574821495781809,101
"microeconomics [(,makra,ckonomtks]",105.0,443.0,180,16,0.7678406057414161,101
micro /eco / nom /ics,111.0,463.5,106,17,0.978807335355501,101
固體經清學,233.0,463.5,54,17,0.8876187591667986,101
tiny/household/law/名科字尾,109.5,478.0,137,16,0.8065041542118062,101
国economics经清學,245.5,478.25,105,16,0.7199482943599923,101
● One focus of microeconomics is on the roles of supply and demand in,189.0,498.0,324,18,0.7517176852349747,101
economic behavior.,81.5,513.5,91,13,0.9108045725795249,101
體经清學有一伍重點在於「供需」在经演行為中扮演的角色,158.5,527.5,243,13,0.6441692162597615,101
Pant1通用學字量：依字首分额,308.5,10.0,135,10,0.7845206994759791,102
multi-:many,46.5,66.5,83,21,0.7868326589109172,102
multiple[mAltap],53.0,91.5,90,13,0.8293736707841323,102
multi /plc,103.0,112.5,52,17,0.8469632197190045,102
