text,x,y,width,height,score,page,chinese_text,english_text,is_word,is_chinese,is_english,english_length,chinese_length,is_chinese_sentence,is_english_sentence,word,word_group
atypical [e't1p1k!],1280.0,2914.0,1692,270,0.9324603084855796,43,,atypical [e't1p1k!],True,False,True,19.0,0.0,False,False,atypical,0
a / typ / ical,2331.5,3313.0,1097,236,0.8702608937435773,43,,a / typ / ical,False,False,True,14.0,0.0,False,False,a / typ / ical,0
形非典型的,4526.0,3453.5,1006,203,0.9045957633762648,43,形非典型的,,False,True,False,5.0,5.0,False,False,形非典型的,0
without/type/形容字尾,2291.5,3572.0,2091,192,0.8888246982491194,43,形容字尾,without/type/,False,True,True,17.0,4.0,False,False,without/type/形容字尾,0
 SARS is an atypical form of pneumonia.,2651.5,4016.25,3589,249,0.8103565755754113,43,, SARS is an atypical form of pneumonia.,False,False,True,39.0,0.0,False,True, SARS is an atypical form of pneumonia.,0
SARS是一種非典型的肺炎。,1965.5,4303.5,2171,191,0.960512717871478,43,是一種非典型的肺炎,SARS。,False,True,True,14.0,9.0,False,False,SARS是一種非典型的肺炎。,0
abysmal [bizm!],1308.5,5034.0,1725,236,0.9496868162622032,43,,abysmal [bizm!],True,False,True,15.0,0.0,False,False,abysmal,0
a / bys(m) / al,2331.0,5445.0,1280,226,0.818971630468556,43,,a / bys(m) / al,False,False,True,15.0,0.0,False,False,bys,0
形無底的；極度的；極糟的,5194.0,5445.0,2366,226,0.9536686849654264,43,形無底的極度的極糟的,；；,False,True,False,12.0,10.0,False,False,形無底的；極度的；極糟的,0
without/bottom/形容字尾,2383.0,5709.5,2320,191,0.9461316117667592,43,形容字尾,without/bottom/,False,True,True,19.0,4.0,False,False,without/bottom/形容字尾,0
abysmal [bizm!],1308.5,5034.0,1725,236,0.9496868162622032,43,,abysmal [bizm!],True,False,True,15.0,0.0,False,False,abysmal,1
a / bys(m) / al,2331.0,5445.0,1280,226,0.818971630468556,43,,a / bys(m) / al,False,False,True,15.0,0.0,False,False,bys,1
形無底的；極度的；極糟的,5194.0,5445.0,2366,226,0.9536686849654264,43,形無底的極度的極糟的,；；,False,True,False,12.0,10.0,False,False,形無底的；極度的；極糟的,1
without/bottom/形容字尾,2383.0,5709.5,2320,191,0.9461316117667592,43,形容字尾,without/bottom/,False,True,True,19.0,4.0,False,False,without/bottom/形容字尾,1
团abyss無底洞,4806.0,5737.5,1566,225,0.9504786386234554,43,团無底洞,abyss,False,True,True,9.0,4.0,False,False,团abyss無底洞,1
Visitors to the slum were appalled by the abysmal living conditions they,4057.0,6148.0,6378,236,0.8556544280646319,43,,Visitors to the slum were appalled by the abysmal living conditions they,False,False,True,72.0,0.0,False,True,Visitors to the slum were appalled by the abysmal living conditions they,1
saw.,1086.0,6452.0,434,168,0.9056298365815794,43,,saw.,False,False,True,4.0,0.0,False,False,saw.,1
來到贫民區的客，都對眼前極差的生活環境感到十分震。,3165.5,6716.5,4549,157,0.8701482363751218,43,來到贫民區的客都對眼前極差的生活環境感到十分震,，。,False,True,False,25.0,23.0,True,False,來到贫民區的客，都對眼前極差的生活環境感到十分震。,1
analphabetic [enalfa bst1k],1800.0,7206.0,2686,236,0.8418498942661397,43,,analphabetic [enalfa bst1k],True,False,True,27.0,0.0,False,False,analphabetic,1
an / alphabet / ic,2331.5,7616.5,1509,225,0.8897099259964024,43,,an / alphabet / ic,False,False,True,18.0,0.0,False,False,an / alphabet / ic,1
analphabetic [enalfa bst1k],1800.0,7206.0,2686,236,0.8418498942661397,43,,analphabetic [enalfa bst1k],True,False,True,27.0,0.0,False,False,analphabetic,2
an / alphabet / ic,2331.5,7616.5,1509,225,0.8897099259964024,43,,an / alphabet / ic,False,False,True,18.0,0.0,False,False,an / alphabet / ic,2
图文盲,5526.0,7757.0,674,236,0.9369782286290482,43,图文盲,,False,True,False,3.0,3.0,False,False,图文盲,2
形不識字的,4542.5,7762.5,1017,203,0.8147077079859188,43,形不識字的,,False,True,False,5.0,5.0,False,False,形不識字的,2
without/alphabet/形容字尾,2463.0,7869.5,2434,191,0.9593307081019818,43,形容字尾,without/alphabet/,False,True,True,21.0,4.0,False,False,without/alphabet/形容字尾,2
Fewer and fewer people are analphabetic nowadays,3165.5,8319.5,4571,191,0.8770923279471962,43,,Fewer and fewer people are analphabetic nowadays,False,False,True,48.0,0.0,False,True,Fewer and fewer people are analphabetic nowadays,2
不識字的人如今愈來愈少見了。,2062.5,8595.0,2343,158,0.85855911178725,43,不識字的人如今愈來愈少見了,。,False,True,False,14.0,13.0,True,False,不識字的人如今愈來愈少見了。,2
My grandfather was an analphabetic all his life.,2965.5,9000.0,4217,224,0.8117212368667255,43,,My grandfather was an analphabetic all his life.,False,False,True,48.0,0.0,False,True,My grandfather was an analphabetic all his life.,2
